city_code,city,state_code
ANC,Anchorage,AK
BAR,Baker Aaf - Baker Island,AK
DAC,Daltons Cache,AK
PIZ,Dew Station Pt Lay Dew,AK
DTH,Dutch Harbor,AK
EGL,Eagle,AK
FRB,Fairbanks,AK
HOM,Homer,AK
HYD,Hyder,AK
JUN,Juneau,AK
5KE,Ketchikan,AK
KET,Ketchikan,AK
MOS,Moses Point Intermediate,AK
NIK,Nikiski,AK
NOM,Nom,AK
PKC,Poker Creek,AK
ORI,Port Lions Spb,AK
SKA,Skagway,AK
SNP,St. Paul Island,AK
TKI,Tokeen,AK
WRA,Wrangell,AK
HSV,Madison County - Huntsville,AL
MOB,Mobile,AL
LIA,Little Rock,AR (BPS)
ROG,Rogers Arpt,AR
DOU,Douglas,AZ
LUK,Lukeville,AZ
NAC,Naco,AZ
NOG,Nogales,AZ
PHO,Phoenix,AZ
POR,Portal,AZ
SLU,San Luis,AZ
SAS,Sasabe,AZ
TUC,Tucson,AZ
YUI,Yuma,AZ
AND,Andrade,CA
BUR,Burbank,CA
CAL,Calexico,CA
CAO,Campo,CA
FRE,Fresno,CA
ICP,Imperial County,CA
LNB,Long Beach,CA
LOS,Los Angeles,CA
BFL,Meadows Field - Bakersfield,CA
OAK,Oakland,CA
ONT,Ontario,CA
OTM,Otay Mesa,CA
PSP,Palm Springs,CA
SAC,Sacramento,CA
SLS,Salinas,CA (BPS)
SDP,San Diego,CA
SFR,San Francisco,CA
SNJ,San Jose,CA
SLO,San Luis Obispo,CA
SLI,San Luis Obispo,CA (BPS)
SPC,San Pedro,CA
SYS,San Ysidro,CA
SAA,Santa Ana,CA
STO,Stockton,CA (BPS)
TEC,Tecate,CA
TRV,Travis-Afb,CA
APA,Arapahoe County,CO
ASE,Aspen,CO #ARPT
COS,Colorado Springs,CO
DEN,Denver,CO
DRO,La Plata - Durango,CO
BDL,Bradley International,CT
BGC,Bridgeport,CT
GRT,Groton,CT
HAR,Hartford,CT
NWH,New Haven,CT
NWL,New London,CT
TST,Newington Data Center Test,CT
DOV,Dover Afb,DE
DVD,Dover-Afb,DE
WLL,Wilmington,DE
BOC,Bocagrande,FL
SRQ,Bradenton - Sarasota,FL
CAN,Cape Canaveral,FL
DAB,Daytona Beach International,FL
FRN,Fernandina,FL
FTL,Fort Lauderdale,FL
FMY,Fort Myers,FL
FPF,Fort Pierce,FL
HUR,Hurlburt Field,FL
GNV,J R Alison Muni - Gainesville,FL
JAC,Jacksonville,FL
KEY,Key West,FL
LEE,Leesburg Municipal Airport,FL
MLB,Melbourne,FL
MIA,Miami,FL
APF,Naples,FL #ARPT
OPF,Opa Locka,FL
ORL,Orlando,FL
PAN,Panama City,FL
PEN,Pensacola,FL
PCF,Port Canaveral,FL
PEV,Port Everglades,FL
PSJ,Port St Joe,FL
SFB,Sanford,FL
SGJ,St Augustine Arpt,FL
SAU,St Augustine,FL
FPR,St Lucie County,FL
SPE,St Petersburg,FL
TAM,Tampa,FL
WPB,West Palm Beach,FL
ATL,Atlanta,GA
BRU,Brunswick,GA
AGS,Bush Field - Augusta,GA
SAV,Savannah,GA
AGA,Agana,GU
HHW,Honolulu,HI
OGG,Kahului - Maui,HI
KOA,Keahole-Kona,HI
LIH,Lihue,HI
CID,Cedar Rapids/Iowa City,IA
DSM,Des Moines,IA
BOI,Air Term. (Gowen Fld) Boise,ID
EPI,Eastport,ID
IDA,Fanning Field - Idaho Falls,ID
PTL,Porthill,ID
SPI,Capital - Springfield,IL
CHI,Chicago,IL
DPA,Dupage County,IL
PIA,Greater Peoria,IL
RFD,Greater Rockford,IL
UGN,Memorial - Waukegan,IL
GAR,Gary,IN
HMM,Hammond,IN
INP,Indianapolis,IN
MRL,Merrillville,IN
SBN,South Bend,IN
ICT,Mid-Continent - Witchita,KS
LEX,Blue Grass - Lexington,KY
LOU,Louisville,KY
BTN,Baton Rouge,LA
LKC,Lake Charles,LA
LAK,Lake Charles,LA (BPS)
MLU,Monroe,LA
MGC,Morgan City,LA
NOL,New Orleans,LA
BOS,Boston,MA
GLO,Gloucester,MA
BED,Hanscom Field - Bedford,MA
LYN,Lynden,WA
ADW,Andrews Afb,MD
BAL,Baltimore,MD
MKG,Muskegon,MD
PAX,Patuxent River,MD
BGM,Bangor,ME
